tax_id	taxonomy	type	name	kingdom
4762.0	root|cellular_organisms|Eukaryota|Stramenopiles|Oomycetes	class	Oomycetes	Eukaryota
451460.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Blastocladiomycota|Blastocladiomycetes	class	Blastocladiomycetes	Fungi
451435.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Chytridiomycota|Chytridiomycetes	class	Chytridiomycetes	Fungi
2212703.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mucoromycotina|Mucoromycetes	class	Mucoromycetes	Fungi
1399768.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Entomophthoromycotina|Basidiobolomycetes	class	Basidiobolomycetes	Fungi
2212702.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mucoromycotina|Endogonomycetes	class	Endogonomycetes	Fungi
214506.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Glomeromycotina|Glomeromycetes	class	Glomeromycetes	Fungi
147554.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Schizosaccharomycetes	class	Schizosaccharomycetes	Fungi
4891.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Saccharomycotina|Saccharomycetes	class	Saccharomycetes	Fungi
155616.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Tremellomycetes	class	Tremellomycetes	Fungi
162480.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Agaricostilbomycetes	class	Agaricostilbomycetes	Fungi
162481.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Microbotryomycetes	class	Microbotryomycetes	Fungi
147555.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Taphrinomycetes	class	Taphrinomycetes	Fungi
147541.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|dothideomyceta|Dothideomycetes	class	Dothideomycetes	Fungi
147550.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Sordariomycetes	class	Sordariomycetes	Fungi
147545.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Eurotiomycetes	class	Eurotiomycetes	Fungi
147548.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|sordariomyceta|Leotiomycetes	class	Leotiomycetes	Fungi
147549.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|Pezizomycetes	class	Pezizomycetes	Fungi
432002.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Atractiellomycetes	class	Atractiellomycetes	Fungi
5257.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Ustilaginomycetes	class	Ustilaginomycetes	Fungi
452283.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Ustilaginomycotina|Exobasidiomycetes	class	Exobasidiomycetes	Fungi
155619.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Agaricomycotina|Agaricomycetes	class	Agaricomycetes	Fungi
432005.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Cystobasidiomycetes	class	Cystobasidiomycetes	Fungi
1798830.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Spiculogloeomycetes	class	Spiculogloeomycetes	Fungi
5747.0	root|cellular_organisms|Eukaryota|Stramenopiles|Eustigmatophyceae	class	Eustigmatophyceae	Eukaryota
5752.0	root|cellular_organisms|Eukaryota|Heterolobosea	class	Heterolobosea	Eukaryota
1280412.0	root|cellular_organisms|Eukaryota|Alveolata|Apicomplexa|Conoidasida	class	Conoidasida	Eukaryota
422676.0	root|cellular_organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida	class	Aconoidasida	Eukaryota
6020.0	root|cellular_organisms|Eukaryota|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea	class	Oligohymenophorea	Eukaryota
2497574.0	root|Viruses|Riboviria|Negarnaviricota|Haploviricotina|Monjiviricetes	class	Monjiviricetes	Viruses
2497577.0	root|Viruses|Riboviria|Negarnaviricota|Polyploviricotina|Insthoviricetes	class	Insthoviricetes	Viruses
2497576.0	root|Viruses|Riboviria|Negarnaviricota|Polyploviricotina|Ellioviricetes	class	Ellioviricetes	Viruses
200643.0	root|cellular_organisms|Bacteria|FCB_group|Bacteroidetes/Chlorobi_group|Bacteroidetes|Bacteroidia	class	Bacteroidia	Bacteria
203692.0	root|cellular_organisms|Bacteria|Spirochaetes|Spirochaetia	class	Spirochaetia	Bacteria
147556.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|Taphrinomycotina|Neolectomycetes	class	Neolectomycetes	Fungi
33853.0	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Fragilariophyceae	class	Fragilariophyceae	Eukaryota
33836.0	root|cellular_organisms|Eukaryota|Stramenopiles|Bacillariophyta|Coscinodiscophyceae	class	Coscinodiscophyceae	Eukaryota
432025.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Mixiomycetes	class	Mixiomycetes	Fungi
1399770.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Entomophthoromycotina|Entomophthoromycetes	class	Entomophthoromycetes	Fungi
930023.0	root|cellular_organisms|Eukaryota|Rhodophyta|Compsopogonophyceae	class	Compsopogonophyceae	Eukaryota
909932.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Negativicutes	class	Negativicutes	Bacteria
203490.0	root|cellular_organisms|Bacteria|Fusobacteria|Fusobacteriia	class	Fusobacteriia	Bacteria
2212704.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mucoromycotina|Umbelopsidomycetes	class	Umbelopsidomycetes	Fungi
203693.0	root|cellular_organisms|Bacteria|Nitrospirae|Nitrospira	class	Nitrospira	Bacteria
84995.0	root|cellular_organisms|Bacteria|Terrabacteria_group|Actinobacteria|Rubrobacteria	class	Rubrobacteria	Bacteria
35675.0	root|cellular_organisms|Eukaryota|Stramenopiles|Pelagophyceae	class	Pelagophyceae	Eukaryota
189478.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|Orbiliomycetes	class	Orbiliomycetes	Fungi
33859.0	root|cellular_organisms|Eukaryota|Stramenopiles|Synurophyceae	class	Synurophyceae	Eukaryota
147547.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Ascomycota|saccharomyceta|Pezizomycotina|leotiomyceta|Lecanoromycetes	class	Lecanoromycetes	Fungi
183968.0	root|cellular_organisms|Archaea|Euryarchaeota|Thermococci	class	Thermococci	Archaea
162484.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Dikarya|Basidiomycota|Pucciniomycotina|Pucciniomycetes	class	Pucciniomycetes	Fungi
204430.0	root|cellular_organisms|Bacteria|FCB_group|Fibrobacteres|Fibrobacteria	class	Fibrobacteria	Bacteria
2219690.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Zoopagomycota|Kickxellomycotina|Kickxellomycetes	class	Kickxellomycetes	Fungi
2212732.0	root|cellular_organisms|Eukaryota|Opisthokonta|Fungi|Fungi_incertae_sedis|Mucoromycota|Mortierellomycotina|Mortierellomycetes	class	Mortierellomycetes	Fungi
